vehicle_id,driver_id,vehicle_model,vehicle_year,engine_cc,transmission_type,odometer_km,last_service_km,current_mileage,daily_distance_km,city_driving_percent,highway_driving_percent,driving_style,ac_usage_percent,fuel_price,fuel_type_before,e20_usage_percent,temperature,traffic_level,region,e20_mileage,user_reported_e20_mileage
VH00068,DR00068,Hyundai i20,2020,799,Automatic,57007,1749,18.29,33.4,23,77,Aggressive,91,114.5,E10 Blend,66,22,Medium,Maharashtra,17.59,17.1
VH00069,DR00069,Renault Triber,2016,1197,Automatic,94379,2323,18.93,38.2,30,70,Moderate,87,100.74,E10 Blend,48,25,Low,Chhattisgarh,18.14,18.1
VH00070,DR00070,Maruti Suzuki WagonR,2014,799,Manual,114506,2507,21.28,45.9,28,72,Calm,14,101.43,E10 Blend,38,27,High,Uttar Pradesh,21.07,20.7
VH00071,DR00071,Tata Tiago,2023,1197,Automatic,26945,2630,16.51,11.4,68,32,Aggressive,62,118.83,E10 Blend,21,29,Medium,Telangana,15.87,15.6
VH00072,DR00072,Toyota Glanza,2022,799,Manual,37422,1437,20.57,18.5,100,0,Calm,55,109.5,E10 Blend,51,31,Medium,Tamil Nadu,19.55,19.6
VH00073,DR00073,Nissan Magnite,2018,1498,Manual,77206,2275,13.97,34.9,60,40,Aggressive,33,106.58,Petrol (E0),55,31,High,Kerala,13.48,13.8
VH00074,DR00074,Hyundai Verna,2021,1198,Manual,45651,6242,20.76,5,70,30,Calm,58,114.91,E10 Blend,44,39,Medium,West Bengal,20.08,20.7
VH00075,DR00075,Tata Tiago,2018,998,Manual,79515,7346,18.43,5,55,45,Moderate,68,100.11,Petrol (E0),61,34,Medium,Uttar Pradesh,18.19,18.4
VH00076,DR00076,Maruti Suzuki WagonR,2019,799,Manual,69214,7357,20.25,50.7,43,57,Moderate,82,109.36,Petrol (E0),7,30,Medium,Kerala,20.23,20
VH00077,DR00077,Maruti Suzuki Baleno,2024,1197,Manual,14452,4870,20.53,24.5,23,77,Moderate,65,105.5,Petrol (E0),60,24,High,Chhattisgarh,19.92,19.5
VH00078,DR00078,Skoda Slavia,2018,1248,Automatic,80101,1249,12.59,15.3,75,25,Aggressive,89,108.56,Petrol (E0),70,31,High,Odisha,11.61,11.5
VH00079,DR00079,Tata Altroz,2012,1498,Manual,128088,3134,14.62,5,39,61,Moderate,45,117.26,E10 Blend,38,30,High,Madhya Pradesh,14.16,14.1
VH00080,DR00080,Maruti Suzuki WagonR,2019,799,Manual,66145,2051,23.97,30.8,48,52,Calm,69,103,Petrol (E0),69,36,Low,Uttar Pradesh,22.62,22.1
VH00081,DR00081,Maruti Suzuki Alto K10,2024,1197,Automatic,19926,6094,19.54,42.1,61,39,Moderate,62,104.78,Petrol (E0),29,36,Medium,Uttar Pradesh,19.54,19.1
VH00082,DR00082,Maruti Suzuki Baleno,2019,1197,Automatic,68406,3003,15.64,37.3,53,47,Aggressive,93,100.07,E10 Blend,47,17,Low,Assam,15.27,15.5
VH00083,DR00083,Hyundai Grand i10 Nios,2017,1197,Manual,79983,6781,19.83,44,57,43,Moderate,53,115.63,E10 Blend,52,22,Low,Madhya Pradesh,19.05,19.7
VH00084,DR00084,Hyundai Verna,2011,1197,Manual,141715,307,18.67,5,49,51,Calm,53,103.15,Petrol (E0),79,38,Medium,Uttar Pradesh,17.49,17.2
VH00085,DR00085,Mahindra XUV700,2018,2198,Automatic,79275,2606,17.52,50.7,38,62,Calm,95,108.45,E10 Blend,62,23,Low,Odisha,16.88,16.4
VH00086,DR00086,Maruti Suzuki Baleno,2013,1498,Manual,124360,1768,20,35.8,38,62,Calm,28,112.48,E10 Blend,59,35,Medium,West Bengal,19.34,19
VH00087,DR00087,Maruti Suzuki Dzire,2025,1498,Manual,11076,3410,22.77,18,73,27,Calm,50,116.05,E10 Blend,75,28,Low,Madhya Pradesh,21.88,21.2
VH00088,DR00088,Renault Triber,2019,1197,Manual,63546,4437,21.63,15.6,49,51,Calm,57,113.3,E10 Blend,95,18,Medium,Karnataka,20.55,20.3
VH00089,DR00089,Honda Amaze,2021,1198,Manual,40074,1419,21.19,31.1,38,62,Moderate,48,103.38,E10 Blend,66,32,Low,Gujarat,20.29,20.4
VH00090,DR00090,Maruti Suzuki Alto K10,2024,1197,Automatic,19370,1376,23.6,20.7,33,67,Calm,31,100.3,Petrol (E0),40,19,Low,Uttar Pradesh,23.42,23.2
VH00091,DR00091,Hyundai i20,2020,998,Manual,54517,6340,17.53,34,78,22,Aggressive,96,111.18,Petrol (E0),44,25,Low,Maharashtra,17.3,17.5
VH00092,DR00092,Mahindra Scorpio-N,2020,1996,Manual,58665,368,13.13,51.4,57,43,Aggressive,50,108.8,Petrol (E0),60,28,Medium,Kerala,12.77,12.7
VH00093,DR00093,Skoda Slavia,2010,1198,Automatic,155710,9500,15.87,25.9,48,52,Calm,55,104.85,Petrol (E0),45,40,High,Gujarat,15.54,15.6
VH00094,DR00094,Maruti Suzuki Baleno,2015,1199,Manual,106177,1381,21.49,35.2,7,93,Calm,18,114.13,Petrol (E0),64,24,High,Madhya Pradesh,21.11,20.9
VH00095,DR00095,Honda Amaze,2015,1197,Manual,100620,1483,19.81,62,69,31,Moderate,66,107.21,E10 Blend,31,37,Medium,Tamil Nadu,19.81,19.8
VH00096,DR00096,Maruti Suzuki Dzire,2024,1197,Automatic,14597,1463,20.44,63.7,47,53,Moderate,67,104.53,E10 Blend,11,39,Medium,Delhi,19.61,18.8
VH00097,DR00097,Kia Seltos,2015,1997,Manual,99860,682,13.13,23.4,66,34,Moderate,83,109.88,E10 Blend,20,25,Medium,Maharashtra,12.45,12.1
VH00098,DR00098,Skoda Slavia,2015,1248,Automatic,106964,2775,16.41,29.9,85,15,Calm,63,110.01,Petrol (E0),32,26,High,Karnataka,16.41,15.7
VH00099,DR00099,Toyota Innova Crysta,2026,1997,Manual,2958,5312,13.66,28.2,45,55,Aggressive,77,109.55,Petrol (E0),64,23,High,Maharashtra,12.68,12.9
VH00100,DR00100,Hyundai Verna,2016,1197,Automatic,97647,2527,14.97,27.2,61,39,Aggressive,88,100.94,Petrol (E0),72,33,Medium,Uttar Pradesh,14.75,14.97
VH00101,DR00101,Toyota Glanza,2025,998,Manual,13862,2148,22.84,5,44,56,Moderate,52,100.61,E10 Blend,59,26,Medium,Chhattisgarh,22,21.6
VH00102,DR00102,Tata Altroz,2016,1497,Automatic,88154,3159,16.57,31.2,18,82,Calm,76,116.51,Petrol (E0),57,20,High,West Bengal,16.17,16.57
VH00103,DR00103,Tata Punch,2024,1000,Manual,22149,6361,20.99,29.4,95,5,Calm,69,100.93,E10 Blend,28,16,High,Gujarat,20.99,20.7
VH00104,DR00104,Maruti Suzuki Dzire,2022,1199,Manual,30761,1884,16.07,46.5,84,16,Aggressive,75,110,E10 Blend,30,37,High,Rajasthan,15.86,15
VH00105,DR00105,Maruti Suzuki Alto K10,2013,1199,Manual,126351,3910,17.33,57.3,60,40,Moderate,52,111.04,Petrol (E0),34,29,Medium,Kerala,16.81,16.5
VH00106,DR00106,Hyundai i20,2012,1000,Manual,129915,1121,20.13,22.7,85,15,Calm,31,112.16,Petrol (E0),52,22,Low,Karnataka,19.68,19.7
VH00107,DR00107,Maruti Suzuki Swift,2022,998,Automatic,34172,3219,20.19,64.5,44,56,Moderate,97,116.45,Petrol (E0),58,21,Medium,Madhya Pradesh,18.93,18.7
VH00108,DR00108,Maruti Suzuki Dzire,2018,1199,Manual,75920,1569,20.12,60.8,45,55,Moderate,33,116.17,E10 Blend,53,30,Medium,Telangana,19.88,20.1
VH00109,DR00109,Maruti Suzuki WagonR,2019,799,Manual,65037,9204,21.25,43.9,57,43,Moderate,71,112.68,Petrol (E0),97,31,Low,Karnataka,19.51,19.8
VH00110,DR00110,Maruti Suzuki WagonR,2018,998,Manual,80157,1497,20.3,58.2,20,80,Moderate,70,115.96,Petrol (E0),75,44,High,Rajasthan,19.01,19.7
VH00111,DR00111,Hyundai Venue,2020,1198,Manual,61640,790,20.88,32,69,31,Calm,53,108.06,E10 Blend,41,18,Medium,Bihar,20.08,20.6
VH00112,DR00112,Renault Kwid,2019,1000,Manual,70370,4305,20.09,32.1,46,54,Moderate,61,106.15,Petrol (E0),52,31,Medium,Odisha,19.93,18.9
VH00113,DR00113,Tata Punch,2026,1197,Manual,2702,4632,21.43,45.3,42,58,Moderate,86,101.97,E10 Blend,32,37,Medium,Uttar Pradesh,20.79,20.5
VH00114,DR00114,Hyundai Grand i10 Nios,2017,998,Automatic,79337,95,21.05,16.4,55,45,Calm,90,99.25,E10 Blend,48,25,Medium,Assam,20.6,19.1
VH00115,DR00115,Toyota Glanza,2024,1197,Manual,16516,4696,17.89,32.2,83,17,Aggressive,39,111.3,E10 Blend,22,28,Medium,Maharashtra,17.89,17.4
VH00116,DR00116,Mahindra Bolero,2022,1996,Manual,33705,730,15.83,5,28,72,Aggressive,42,102.25,E10 Blend,40,24,Medium,Delhi,15.39,15.8
VH00117,DR00117,Volkswagen Virtus,2022,1197,Manual,38314,1723,25.1,24.9,26,74,Calm,52,103.26,E10 Blend,31,8,Low,Punjab,25.1,24.5
VH00118,DR00118,Skoda Slavia,2025,1248,Automatic,4408,9500,21.04,51.2,71,29,Moderate,53,97.8,E10 Blend,76,18,Low,Uttar Pradesh,20.01,19.5
VH00119,DR00119,Tata Altroz,2017,1497,Automatic,87189,7065,15.82,13.9,70,30,Calm,93,100.57,Petrol (E0),79,24,Medium,Gujarat,15.5,15.5
VH00120,DR00120,Volkswagen Virtus,2015,1197,Automatic,104286,4963,19.25,37.1,61,39,Moderate,40,98.71,E10 Blend,69,29,Low,Punjab,18.46,18.7
VH00121,DR00121,Maruti Suzuki Dzire,2012,1198,Manual,142560,3394,15.4,13.2,100,0,Moderate,44,108.15,E10 Blend,24,29,Medium,Maharashtra,15.2,14.9
VH00122,DR00122,Tata Punch,2022,1000,Automatic,39514,4559,20.98,5,30,70,Moderate,69,114.63,E10 Blend,18,42,Medium,West Bengal,20.9,20.6
VH00123,DR00123,Tata Nexon,2020,1497,Manual,62038,1888,20.53,26.1,59,41,Calm,53,105.51,Petrol (E0),39,40,Low,Bihar,20.43,20.5
VH00124,DR00124,Honda Amaze,2011,1197,Automatic,142516,67,15.11,19.8,72,28,Moderate,17,111.19,E10 Blend,31,38,High,Rajasthan,14.4,14.4
VH00125,DR00125,Maruti Suzuki Baleno,2011,1497,Manual,139839,605,15.87,67.9,32,68,Aggressive,40,103.14,E10 Blend,66,32,Low,Delhi,15.61,15.3
VH00126,DR00126,Maruti Suzuki Dzire,2019,1197,Manual,63832,201,19.2,12.5,61,39,Moderate,66,99.56,E10 Blend,24,14,Low,Uttar Pradesh,19.2,19.2
VH00127,DR00127,Nissan Magnite,2021,1248,Manual,59627,72,17.84,27.8,62,38,Aggressive,55,98.83,Petrol (E0),63,17,Low,Uttar Pradesh,17.3,17.2
VH00128,DR00128,Kia Sonet,2021,1198,Manual,43995,2605,19,13.6,76,24,Moderate,61,109.81,Petrol (E0),79,23,Low,Karnataka,17.68,17.7
VH00129,DR00129,Renault Kwid,2011,998,Automatic,139212,366,17.28,32.9,76,24,Moderate,66,102.03,Petrol (E0),73,15,Low,Uttar Pradesh,16.44,17.2
VH00130,DR00130,Maruti Suzuki WagonR,2017,1000,Manual,80232,3979,15.56,53,83,17,Aggressive,27,109.1,Petrol (E0),69,28,High,Karnataka,15.25,14.9
VH00131,DR00131,Maruti Suzuki Ertiga,2024,2179,Manual,15589,2952,14.59,43.7,61,39,Aggressive,34,101.54,Petrol (E0),60,24,Medium,Chhattisgarh,13.64,13.2
VH00132,DR00132,Mahindra XUV700,2016,2198,Manual,84002,1387,11.39,20.3,76,24,Aggressive,91,114.03,Petrol (E0),14,27,Medium,Madhya Pradesh,10.81,11.39
VH00133,DR00133,Honda WR-V,2015,1497,Automatic,105609,1009,17.24,24.5,67,33,Calm,57,113.42,E10 Blend,57,29,Medium,Karnataka,16.83,16.3
VH00134,DR00134,Tata Nexon,2014,1497,Automatic,113353,5553,17.71,48.9,22,78,Moderate,48,107.41,E10 Blend,35,33,Low,Tamil Nadu,17.22,17.7
VH00135,DR00135,Tata Punch,2011,1197,Automatic,145556,1515,15.82,8.6,50,50,Moderate,80,105.01,E10 Blend,94,39,Medium,Chhattisgarh,14.83,14.6
VH00136,DR00136,Mahindra XUV700,2010,1497,Manual,146872,8615,13.72,40.5,57,43,Moderate,45,101.98,E10 Blend,49,27,High,Gujarat,13.43,13.3
VH00137,DR00137,Maruti Suzuki Alto K10,2016,1197,Manual,90705,8745,18.68,16.2,66,34,Moderate,39,92.92,E10 Blend,11,29,Low,Uttarakhand,17.78,18
VH00138,DR00138,Honda WR-V,2013,1497,Automatic,123762,3811,13.69,37.5,79,21,Calm,78,114.17,E10 Blend,45,35,High,Rajasthan,13.47,13.69
VH00139,DR00139,Toyota Glanza,2024,1199,Manual,19186,574,18.83,54.9,48,52,Aggressive,73,113.34,E10 Blend,77,25,Medium,Rajasthan,17.39,17.7
VH00140,DR00140,Tata Tiago,2026,1000,Automatic,5449,7707,20.96,51.9,24,76,Moderate,90,107.93,Petrol (E0),76,21,High,Odisha,20.18,19.9
VH00141,DR00141,Nissan Magnite,2013,1197,Manual,119678,4116,18.19,60.9,54,46,Moderate,65,105.53,E10 Blend,10,9,Medium,Delhi,17.58,17.2
VH00142,DR00142,Hyundai Grand i10 Nios,2014,1199,Manual,115785,666,19.24,46.8,40,60,Calm,74,117.88,Petrol (E0),7,39,Medium,Madhya Pradesh,19.24,19.2
VH00143,DR00143,Maruti Suzuki Dzire,2016,1498,Manual,96408,7704,20.35,30.2,42,58,Calm,65,104.21,E10 Blend,17,31,Low,Gujarat,20.16,20.1
VH00144,DR00144,Hyundai Venue,2017,1198,Manual,88369,595,20.6,50.3,69,31,Calm,67,110.55,E10 Blend,80,31,Medium,Kerala,20.24,19.8
VH00145,DR00145,Volkswagen Virtus,2023,1497,Manual,33889,1166,18.92,28.2,100,0,Calm,30,100.39,E10 Blend,59,35,High,Gujarat,17.93,18
VH00146,DR00146,Maruti Suzuki Baleno,2022,1199,Manual,30589,3721,19.64,22.4,61,39,Moderate,80,99.94,E10 Blend,31,26,Medium,Assam,19.19,19.5
VH00147,DR00147,Kia Sonet,2023,1497,Manual,23115,2070,17.79,33.4,42,58,Aggressive,42,107.66,E10 Blend,42,22,Low,Maharashtra,17.31,17.2
VH00148,DR00148,Honda WR-V,2024,1198,Automatic,18324,2576,22.61,15.2,20,80,Calm,58,104.32,Petrol (E0),41,32,Medium,Gujarat,21.64,22.3
VH00149,DR00149,Tata Altroz,2016,1497,Automatic,100400,485,14.63,5,28,72,Aggressive,51,118,Petrol (E0),47,19,Medium,Rajasthan,14.09,14.1
VH00150,DR00150,Maruti Suzuki Swift,2012,998,Manual,129872,5177,16.16,43,64,36,Moderate,46,100.75,E10 Blend,49,36,High,Chhattisgarh,15.67,15.4
VH00151,DR00151,Honda Amaze,2016,1497,Automatic,93103,3012,14.7,5,67,33,Moderate,40,107.66,Petrol (E0),25,29,High,Tamil Nadu,13.84,13.7
VH00152,DR00152,Honda City,2025,1198,Manual,9239,720,22.81,43,73,27,Moderate,46,99.74,E10 Blend,32,32,Low,Punjab,22.81,22.4
VH00153,DR00153,Hyundai i20,2012,799,Manual,131028,2096,18.27,28.3,69,31,Moderate,78,116.39,Petrol (E0),29,24,Medium,Telangana,18.07,17.4
VH00154,DR00154,Mahindra XUV700,2013,2179,Automatic,128094,4136,9.04,38.3,86,14,Moderate,74,102.31,Petrol (E0),60,8,High,Delhi,9.04,9
VH00155,DR00155,Maruti Suzuki Alto K10,2011,799,Manual,141821,5140,18.13,40.3,92,8,Calm,4,114.11,Petrol (E0),41,35,High,West Bengal,17.79,17.2
